instance,n,m,K,t_baseline,cuts_baseline,t_no_sym,cuts_no_sym,t_no_warm,cuts_no_warm
galaxies_10x10_1.txt,10,10,9,2.437999963760376,0,0.003000020980834961,0,0.0029997825622558594,0
galaxies_10x10_2.txt,10,10,14,0.003999948501586914,0,0.003999948501586914,0,0.003999948501586914,0
galaxies_10x10_3.txt,10,10,12,0.003999948501586914,0,0.003000020980834961,0,0.003000020980834961,0
galaxies_15x15_2.txt,15,15,20,0.0969998836517334,236,0.037000179290771484,118,0.03699994087219238,236
galaxies_15x15_3.txt,15,15,13,0.009000062942504883,0,0.007999897003173828,0,0.003999948501586914,0
galaxies_4x4_1.txt,4,4,5,0.002000093460083008,0,0.002000093460083008,0,0.0010001659393310547,0
galaxies_4x4_2.txt,4,4,5,0.0019998550415039062,0,0.003000020980834961,0,0.0009999275207519531,0
galaxies_4x4_3.txt,4,4,6,0.0009999275207519531,0,0.002000093460083008,0,0.002000093460083008,0
galaxies_5x5_1.txt,5,5,7,0.0019998550415039062,0,0.002000093460083008,0,0.003000020980834961,0
galaxies_5x5_2.txt,5,5,9,0.002000093460083008,0,0.002000093460083008,0,0.0009999275207519531,0
galaxies_5x5_3.txt,5,5,9,0.0009999275207519531,0,0.0019998550415039062,0,0.0019998550415039062,0
galaxies_6x6_1.txt,6,6,7,0.003000020980834961,0,0.002000093460083008,0,0.0009999275207519531,0
galaxies_6x6_2.txt,6,6,8,0.06399989128112793,0,0.002000093460083008,0,0.0010001659393310547,0
galaxies_6x6_3.txt,6,6,14,0.002000093460083008,0,0.003000020980834961,0,0.0010001659393310547,0
galaxies_7x7_1.txt,7,7,14,0.005000114440917969,0,0.003999948501586914,0,0.004000186920166016,0
galaxies_7x7_2.txt,7,7,6,0.002000093460083008,0,0.002000093460083008,0,0.002000093460083008,0
galaxies_7x7_3.txt,7,7,11,0.006000041961669922,0,0.005000114440917969,0,0.004999876022338867,0
galaxies_8x8_1.txt,8,8,15,0.009999990463256836,76,0.006999969482421875,38,0.012000083923339844,76
galaxies_8x8_2.txt,8,8,6,0.003000020980834961,0,0.002000093460083008,0,0.0,0
galaxies_8x8_3.txt,8,8,12,0.006000041961669922,0,0.003000020980834961,0,0.002000093460083008,0
instance_10x10_1.txt,10,10,26,0.023000001907348633,260,0.020999908447265625,130,0.017999887466430664,260
instance_15x15_1.txt,15,15,52,0.505000114440918,708,0.4909999370574951,354,0.48199987411499023,708
instance_4x4_1.txt,4,4,6,0.002000093460083008,0,0.0009999275207519531,0,0.0010001659393310547,0
instance_5x5_1.txt,5,5,7,0.0009999275207519531,0,0.0009999275207519531,0,0.002000093460083008,0
instance_7x7_1.txt,7,7,14,0.0019998550415039062,0,0.002000093460083008,0,0.0009999275207519531,0
